WELL,DEPTH,GR,RHOB,NPHI,PEF,DT,DTS,RT
15/9-F-11 A,2607.5,32.109,2.19,0.276,5.136,99.198,242.784,0.445
15/9-F-11 A,2607.6,30.053,2.19,0.279,5.074,99.044,242.779,0.446
15/9-F-11 A,2607.7,28.497,2.19,0.283,5.027,98.795,242.939,0.448
15/9-F-11 A,2607.8,29.497,2.189,0.289,5.053,98.659,243.554,0.455
15/9-F-11 A,2607.9,31.087,2.191,0.301,5.203,98.598,244.286,0.459
15/9-F-11 A,2608.0,35.991,2.197,0.318,5.508,98.652,245.084,0.454
15/9-F-11 A,2608.1,42.866,2.211,0.344,5.93,98.905,245.72,0.452
15/9-F-11 A,2608.2,49.618,2.235,0.368,6.377,99.248,246.258,0.454
15/9-F-11 A,2608.3,54.604,2.265,0.384,6.689,99.69,246.648,0.606
15/9-F-11 A,2608.4,60.595,2.294,0.386,6.771,100.28,246.492,0.804
15/9-F-11 A,2608.5,63.962,2.31,0.371,6.614,100.993,246.23,0.866
15/9-F-11 A,2608.6,61.152,2.306,0.351,6.322,101.963,246.276,0.807
15/9-F-11 A,2608.7,52.352,2.286,0.342,6.085,102.891,246.466,0.645
15/9-F-11 A,2608.8,45.544,2.263,0.343,6.044,103.84,246.568,0.534
15/9-F-11 A,2608.9,44.964,2.251,0.354,6.178,104.991,245.918,0.545
15/9-F-11 A,2609.0,47.718,2.255,0.363,6.34,106.188,246.169,0.638
15/9-F-11 A,2609.1,53.557,2.266,0.375,6.416,107.456,246.984,0.696
15/9-F-11 A,2609.2,58.377,2.269,0.388,6.438,109.065,248.279,0.676
15/9-F-11 A,2609.3,58.583,2.264,0.41,6.553,110.702,250.267,0.644
15/9-F-11 A,2609.4,62.77,2.259,0.435,6.808,112.382,252.833,0.657
15/9-F-11 A,2609.5,71.04,2.264,0.458,7.118,114.384,256.761,0.674
15/9-F-11 A,2609.6,74.674,2.277,0.477,7.318,116.01,260.738,0.715
15/9-F-11 A,2609.7,75.451,2.29,0.49,7.331,117.311,264.757,0.709
